Id,Reputation
"629","101"
"630","101"
"631","261"
"632","380"
"634","916"
"635","101"
"639","424"
"640","101"
"641","101"
"642","101"
"644","211"
"645","131"
"646","100"
"647","302"
"648","101"
"650","101"
"652","584"
"653","1038"
"655","1"
"656","1188"
"659","2937"
"660","120"
"662","5218"
"664","101"
"666","663"
"667","39"
"668","81"
"670","101"
"671","101"
"673","147"
"674","390"
"675","144"
"677","153"
"42053","1"
"42054","113"
"42055","1"
"42056","1"
"42057","151"
"42058","1"
"42059","1"
"42060","121"
"42061","108"
"42062","101"
"42063","101"
"42064","181"
"42065","6"
"42066","101"
"42067","101"
"42068","101"
"42069","1"
"42070","101"
"42071","1"
"42072","101"
"42073","1"
"42074","111"
"42075","101"
"42076","101"
"42077","101"
"42078","213"
"42079","3"
"42080","101"
"42081","101"
"42082","101"
"42083","101"
"42084","33"
"42085","1"
"42086","1"
"42087","101"
"42088","1"
"42089","1"
"42090","1"
"42091","1"
"42092","1"
"42094","6"
"42095","1"
"42096","1"
"42097","101"
"42098","1"
"42099","1"
"42100","103"
"42102","11"
"42103","101"
"42105","101"
"42106","1"
"42108","111"
"42109","1"
"42110","101"
"42111","101"
"42112","101"
"42113","1"
"42114","101"
"42115","1"
"42116","1"
"42117","103"
"42120","101"
"42121","141"
"42122","101"
"42124","1"
"42125","101"
"42126","101"
"42127","1"
"42128","1"
"42129","101"
"42130","101"
"42131","1"
"42132","101"
"42133","1"
"42134","1"
"42135","111"
"42136","101"
"42137","1"
"42139","42"
"42140","1"
"42141","1"
"42142","101"
"42143","1"
"42144","1"
"42145","61"
"42146","23"
"42148","101"
"42149","6"
"42150","101"
"42151","101"
"42152","11"
"42154","101"
"42155","101"
"42156","15"
"42157","1"
"42159","28"
"42160","1"
"42161","101"
"42162","101"
"42163","128"
"42164","1"
"42165","1"
"42166","33"
"42167","11"
"42168","11"
"42169","1"
"42170","110"
"42171","3"
"42172","1"
"42173","156"
"42174","1"
"42175","101"
"42176","101"
"42177","1"
"42179","1"
"42180","1"
"42181","101"
"42182","101"
"42183","1"
"42184","1"
"42185","101"
"42186","101"
"42187","3"
"42188","101"
"42189","101"
"42190","101"
"42193","101"
"42194","101"
"42195","101"
"42196","14"
"42197","1"
"42198","1"
"42201","1"
"42203","5"
"42204","101"
"42205","1"
"42206","101"
"42207","104"
"42208","101"
"42209","1"
"42210","101"
"42211","103"
"42212","1"
"42213","101"
"42214","1"
"42215","101"
"42218","1"
"42219","106"
"42220","1"
"42221","1"
"42223","101"
"42224","1"
"42225","795"
"42226","11"
"42227","1"
"42228","101"
"42229","109"
"42230","101"
"42231","101"
"42232","101"
"42233","101"
"42234","1"
"42235","101"
"42236","1"
"42237","101"
"42238","101"
"42239","1"
"42240","101"
"42241","1"
"42242","1"
"42243","156"
"42244","101"
"42245","101"
"42246","11"
"42247","101"
"42248","1"
"42249","18"
"42250","18"
"42251","101"
"42252","1"
"42254","101"
"42256","101"
"42257","1"
"42258","101"
"42259","13"
"42260","101"
"42261","1"
"42262","126"
"42263","1"
"42265","36"
"42266","1"
"42267","126"
"42268","1"
"42269","101"
"42270","1"
"42271","6"
"42272","1"
"42273","1"
"42274","1"
"42275","101"
"42276","101"
"42277","101"
"42278","1"
"42280","1"
"42282","101"
"42283","1"
"42284","11"
"42286","101"
"42287","101"
"42289","1"
"42291","1"
"42292","101"
"42294","1"
"42295","101"
"42296","101"
"42298","101"
"42299","1"
"42301","1"
"42302","1"
"42303","101"
"42304","116"
"42305","101"
"42307","101"
"42308","1"
"42310","101"
"42311","101"
"42313","1"
"42315","101"
"42316","1"
"42317","1"
"42319","1"
"42320","160"
"42322","101"
"42323","1"
"42324","1"
"42325","111"
"42326","1"
"42327","1"
"42328","115"
"42329","101"
"42330","1"
"42331","101"
"42332","101"
"42333","1"
"42335","1"
"42336","101"
"42337","1"
"42338","4"
"42339","1"
"42340","231"
"42341","18"
"42342","111"
"42344","1"
"42345","101"
"42346","101"
"42347","1"
"42348","1"
"42350","1"
"42351","1"
"42352","101"
"42353","1"
"42355","11"
"42356","115"
"42357","16"
"42358","1"
"42359","101"
"42360","101"
"42361","101"
"42362","1"
"42363","101"
"42364","101"
"42365","101"
"42366","1"
"42368","101"
"42369","101"
"42370","86"
"42371","101"
"42372","1"
"42375","101"
"42376","101"
"42378","101"
"42379","1"
"42380","101"
"42381","128"
"42382","1"
"42383","101"
"42384","1"
"42385","101"
"42386","1"
"42387","1"
"42388","101"
"42389","101"
"42390","1"
"42391","1"
"42392","101"
"42393","126"
"42394","101"
"42396","1"
"42397","1"
"42398","101"
"42399","101"
"42400","1"
"42401","101"
"42402","101"
"42403","101"
"42404","3"
"42405","1"
"42406","119"
"42407","1"
"42408","240"
"42409","1"
"42410","1"
"42411","101"
"42412","1"
"42414","16"
"42415","101"
"42416","1"
"42417","21"
"42418","101"
"42419","101"
"42420","122"
"42421","101"
"42422","101"
"42424","101"
"42425","86"
"42427","8"
"42428","106"
"42429","101"
"42430","1"
"42431","101"
"42433","101"
"42434","378"
"42435","423"
"42436","101"
"42437","1"
"42438","101"
"42440","101"
"42441","1"
"42442","101"
"42443","111"
"42444","1"
"42445","101"
"42446","132"
"42447","1"
"42448","1"
"42449","101"
"42450","32"
"42451","1"
"42452","1"
"42453","1"
"42455","101"
"42457","1"
"42458","1"
"42459","101"
"42460","101"
"42461","1"
"42462","1"
"42463","763"
"42464","1"
"42465","679"
"42466","1"
"42467","4"
"42468","1"
"42469","131"
"42470","1"
"42471","101"
"42472","101"
"42473","101"
"42475","1"
"42476","101"
"42477","1"
"42478","1"
"42479","1"
"42480","13"
"42481","1"
"42483","101"
"42484","101"
"42485","101"
"42486","1"
"42487","116"
"42488","1"
"42489","1"
"42491","76"
"42492","138"
"42494","1"
"42495","101"
"42496","101"
"42497","1"
"42498","101"
"42499","101"
"42500","1678"
"42501","1"
"42502","1"
"42504","101"
"42505","1"
"42506","101"
"42507","1"
"42508","101"
"42509","18"
"42510","86"
"42511","101"
"42512","1"
"42513","101"
"42514","101"
"42515","101"
"42516","1"
"42517","101"
"42519","101"
"42520","101"
"42521","1"
"42522","23"
"42523","1"
"42524","13"
"42525","267"
"42526","164"
"42527","101"
"42528","8"
"42529","101"
"42531","1"
"42532","21"
"42533","101"
"42534","1"
"42535","1"
"42536","101"
"42537","1"
"42540","3"
"42541","101"
"42542","1"
"42543","1"
"42544","1"
"42545","101"
"42546","101"
"42547","101"
"42549","35"
"42550","101"
"42551","101"
"42552","523"
"42553","1"
"42554","101"
"42556","1"
"42557","56"
"42558","1"
"42559","106"
"42561","1"
"42562","18"
"42563","101"
"42564","1"
"42565","101"
"42566","101"
"42567","101"
"42568","1"
"42569","18"
"42571","165"
"42572","101"
"42573","101"
"42574","101"
"42575","1"
"42576","1"
"42577","101"
"42578","1"
"42579","156"
"42580","21"
"42581","1"
"42582","1"
"42583","227"
"42584","1"
"42585","136"
"42586","18"
"42588","8"
"42589","1"
"42590","101"
"42591","1"
"42592","1"
"42593","101"
"42594","101"
"42595","1"
"42596","322"
"42597","1"
"42598","101"
"42600","111"
"42601","1"
"42602","11"
"42603","83"
"42604","171"
"42605","6"
"42606","101"
"42607","429"
"42608","101"
"42609","1"
"42610","1"
"42611","101"
"42612","101"
"42613","1"
"42614","1"
"42615","920"
"42616","1"
"42617","41"
"42618","1"
"42620","1"
"42621","101"
"42622","101"
"42623","1"
"42624","1"
"42625","101"
"42626","103"
"42627","1"
"42628","101"
"42629","101"
"42630","101"
"42631","108"
"42632","1"
"42635","1"
"42636","101"
"42637","1"
"42638","101"
"42639","101"
"42641","101"
"42642","1"
"42643","101"
"42644","1"
"42645","101"
"42646","9"
"42647","101"
"42649","106"
"42650","101"
"42651","101"
"42652","1"
"42653","151"
"42654","101"
"42655","1"
"42656","11"
"42657","101"
"42658","1"
"42659","1"
"42660","101"
"42661","121"
"42662","114"
"42663","1"
"42664","101"
"42665","1"
"42666","101"
"42667","101"
"42669","101"
"42670","1"
"42671","101"
"42672","101"
"42673","101"
"42674","3"
"42675","1"
"42676","1"
"42677","111"
"42679","1"
"42680","1"
"42681","1"
"42683","1"
"42684","1"
"42685","101"
"42686","101"
"42687","1"
"42688","1"
"42689","111"
"42690","1"
"42691","101"
"42692","101"
"42693","405"
"42694","1"
"42695","103"
"42696","13"
"42698","101"
"42699","1"
"42700","101"
"42701","1"
"42702","1"
"42703","196"
"42704","118"
"42705","101"
"42706","1"
"42707","101"
"42708","1"
"42709","101"
"42710","1"
"42711","1"
"42712","1"
"42713","101"
"42714","101"
"42715","1"
"42716","1"
"42717","101"
"42718","101"
"42719","1"
"42720","101"
"42723","1"
"42725","1"
"42726","101"
"42727","1"
"42728","1"
"42729","390"
"42730","110"
"42731","115"
"42732","1"
"42733","101"
"42734","101"
"42735","1"
"42736","1"
"42737","101"
"42738","1"
"42739","1"
"42740","11"
"42742","171"
"42743","101"
"42744","101"
"42745","1"
"42746","1"
"42747","1"
"42748","1"
"42749","1"
"42750","108"
"42752","101"
"42753","1"
"42754","1"
"42755","101"
"42756","101"
"42758","48"
"42759","1"
"42760","101"
"42762","101"
"42763","1"
"42764","1"
"42767","101"
"42768","108"
"42769","1"
"42771","1"
"42772","101"
"42773","101"
"42774","101"
"42775","101"
"42776","101"
"42777","101"
"42778","1"
"42779","101"
"42780","101"
"42781","1"
"42784","101"
"42785","101"
"42786","1"
"42787","1"
"105902","196"
"105903","1"
"105904","101"
"105905","83"
"105906","11"
"105907","1"
"105908","1"
"105909","1"
"105910","106"
"105911","101"
"105912","1"
"105913","1"
"105914","6"
"105915","1"
"105916","1"
"105917","1"
"105918","111"
"105919","1"
"105920","101"
"105921","1"
"105922","1"
"105923","1"
"105924","1"
"105925","1"
"105926","101"
"105927","101"
"105928","11"
"105929","101"
"105930","1"
"105931","101"
"105932","101"
"105933","1"
"105934","1"
"105935","101"
"105936","1"
"105937","3"
"105938","1"
"105939","1"
"105940","118"
"105941","1"
"105942","1"
"105943","101"
"105944","101"
"105945","11"
"105946","101"
"105947","101"
"105948","1"
"105949","1"
"105950","1"
"105951","101"
"105952","1"
"105953","1"
"105954","101"
"105955","101"
"105956","3"
"105957","101"
"105958","1"
"105959","1"
"105960","101"
"105961","1"
"105962","101"
"105963","101"
"105964","1"
"105965","1"
"105966","36"
"105967","8"
"105968","171"
"105969","1"
"105970","1"
"105971","101"
"105972","101"
"105973","1"
"105974","101"
"105975","1"
"105976","8"
"105977","1"
"105978","6"
"105979","6"
"105981","1"
"105982","1"
"105983","1"
"105985","16"
"105986","1"
"105987","16"
"105988","1"
"105989","101"
"105990","101"
"105991","1"
"105992","8"
"105993","1"
"105994","1"
"105995","101"
"105996","1"
"105997","231"
"105998","1"
"105999","101"
"106000","31"
"106001","1"
"106002","101"
"106003","101"
"106004","101"
"106005","101"
"106006","1"
"106007","101"
"106008","101"
"106009","101"
"106010","101"
"106011","1"
"106012","101"
"106013","6"
"106014","1"
"106015","101"
"106016","101"
"106017","101"
"106018","101"
"106019","101"
"106020","101"
"106021","101"
"106022","101"
"106023","101"
"106024","1"
"106025","101"
"106026","1"
"106027","1"
"106028","101"
"106029","1"
"106030","101"
"106031","1"
"106032","101"
"106033","1"
"106034","1"
"106035","133"
"106036","1"
"106037","1"
"106038","1"
"106039","106"
"106040","1"
"106041","121"
"106042","138"
"106044","1"
"106045","101"
"106046","101"
"106047","101"
"106048","1"
"106049","1"
"106050","1"
"106051","13"
"106052","1"
